"Date","USD_INR","Pound_INR","Euro_INR"
2015-06-05,64.10995,97.93762153,71.24578965
2015-06-06,64.10995,97.93762153,71.24578965
2015-06-07,64.10995,97.84909584,71.17262387
2015-06-08,63.985,98.175391,72.184684
2015-06-09,64.04745,98.55813794,72.33487014
2015-06-10,63.80845,98.89671892,72.16640001
2015-06-11,64.00545,99.31085668,71.98215
2015-06-12,64.09995,99.73952823,72.17654973
2015-06-13,64.09995,99.73952823,72.17654973
2015-06-14,64.09995,99.76932953,71.94802783
2015-06-15,64.05845,99.91837182,72.22910719
2015-06-16,64.18845,100.37148078,72.15199024
2015-06-17,63.90545,101.27991431,72.65730527
2015-06-18,63.65245,101.07594329,72.38174722
2015-06-19,63.48095,100.81410574,72.08579931
2015-06-20,63.48095,100.81410574,72.08579931
2015-06-21,63.48095,100.75569483,72.13023095
2015-06-22,63.51345,100.5214675,72.05632686
2015-06-23,63.60545,100.09144466,71.06637004
2015-06-24,63.56945,99.83455044,71.23910528
2015-06-25,63.52045,100.01612515,71.16069007
2015-06-26,63.45345,99.92015451,70.86481749
2015-06-27,63.45345,99.92015451,70.86481749
2015-06-28,63.48145,99.61223555,69.66263917
2015-06-29,63.73445,100.24026903,71.50654792
2015-06-30,63.61145,99.90502853,70.82594487
2015-07-01,63.58345,99.21729298,70.14831124
2015-07-02,63.37745,98.92995835,70.26103304
2015-07-03,63.41745,98.74731819,70.48215846
2015-07-04,63.41745,98.74731819,70.48215846
2015-07-05,63.43345,98.64535885,69.74444432
2015-07-06,63.37045,98.84998126,70.00787124
2015-07-07,63.52645,98.22269158,69.93309362
2015-07-08,63.56645,97.67620768,70.36265727
2015-07-09,63.37245,97.40979516,70.092148
2015-07-10,63.37145,98.33665698,70.70038953
2015-07-11,63.37145,98.33665698,70.70038953
2015-07-12,63.37145,98.31320071,70.52481951
2015-07-13,63.52145,98.33025235,69.76338563
2015-07-14,63.33245,99.0107876,69.71034464
2015-07-15,63.52945,99.27238984,69.487
2015-07-16,63.49045,99.12764185,69.09856168
2015-07-17,63.47495,99.03998253,68.74337887
2015-07-18,63.47495,99.03998253,68.74337887
2015-07-19,63.49145,99.06190055,68.77711435
2015-07-20,63.63345,99.07282784,68.94048124
2015-07-21,63.59045,98.90858744,69.53994783
2015-07-22,63.66945,99.40615774,69.55505419
2015-07-23,63.85345,99.08810347,70.16536467
2015-07-24,64.10845,99.4258019,70.35261756
2015-07-25,64.10845,99.4258019,70.35261756
2015-07-26,64.10845,99.51234265,70.34235591
2015-07-27,64.22345,99.9541683,71.22380756
2015-07-28,63.84345,99.64366648,70.64916328
2015-07-29,63.89145,99.67194044,70.17198029
2015-07-30,64.12645,100.05883063,70.16042858
2015-07-31,63.98645,99.95963823,70.45071905
2015-08-01,63.98645,99.95963823,70.45071905
2015-08-02,63.98645,99.95643476,70.17745931
2015-08-03,64.13045,99.97616692,70.2388765
2015-08-04,63.82345,99.33641374,69.477655
2015-08-05,63.725,99.4460675,69.482556
2015-08-06,63.73845,98.87937017,69.62820181
2015-08-07,63.73745,98.75799606,69.91042619
2015-08-08,63.73745,98.75799606,69.91042619
2015-08-09,63.73745,98.72580491,69.85975103
2015-08-10,63.84295,99.49572674,70.32620359
2015-08-11,64.33545,100.2507161,71.02312041
2015-08-12,64.80745,101.1764194,72.30081167
2015-08-13,65.27445,101.92115851,72.83323282
2015-08-14,65.13045,101.89660035,72.36318761
2015-08-15,65.13045,101.89660035,72.36318761
2015-08-16,65.13045,101.92589962,72.2456262
2015-08-17,65.45545,101.9783469,72.49619208
2015-08-18,65.52495,102.63336809,72.26419292
2015-08-19,65.06145,102.03294454,72.33857432
2015-08-20,65.46645,102.71686156,73.55155733
2015-08-21,66.194,103.88817805,75.3817292
2015-08-22,66.194,103.88817805,75.3817292
2015-08-23,66.166,103.71884466,75.27904343
2015-08-24,67.02995,105.63921141,77.61699775
2015-08-25,66.336,104.11767005,76.61343668
2015-08-26,66.06445,102.26116291,74.91543488
2015-08-27,66.06245,101.81214671,74.30043827
2015-08-28,66.15245,101.81854984,73.95844363
2015-08-29,66.15245,101.81854984,73.95844363
2015-08-30,66.15245,101.98061843,74.16351192
2015-08-31,66.36045,101.94358735,74.48529204
2015-09-01,66.43045,101.66516219,75.03551861
2015-09-02,66.22045,101.35039948,74.2586507
2015-09-03,66.16745,100.96974817,73.61273173
2015-09-04,66.68645,101.16001524,74.33538959
2015-09-05,66.68645,101.16001524,74.33538959
2015-09-06,66.765,101.4494325,74.4600027
2015-09-07,66.785,102.014095,74.538741
